Fecha;Tipos de interés
2/2/2023;4,50%
15/12/2022;4,25%
3/11/2022;3,75%
22/9/2022;3,00%
28/7/2022;2,25%
16/6/2022;1,50%
5/5/2022;0,75%
17/3/2022;0,25%
16/3/2020;0%
3/3/2020;1,00%
31/10/2019;1,50%
19/9/2019;1,75%
1/8/2019;2,00%
20/12/2018;2,25%
27/9/2018;2,00%
14/6/2018;1,75%
22/3/2018;1,50%
14/12/2017;1,25%
15/6/2017;1,00%
16/3/2017;0,75%
15/12/2016;0,50%
17/12/2015;0,25%
16/12/2008;0%
29/10/2008;1,00%
8/10/2008;1,50%
30/4/2008;2,00%
18/3/2008;2,25%
30/1/2008;3,00%
22/1/2008;3,50%
11/12/2007;4,25%
31/10/2007;4,50%
18/9/2007;4,75%
29/6/2006;5,25%
10/5/2006;5,00%
28/3/2006;4,75%
31/1/2006;4,50%
13/12/2005;4,25%
1/11/2005;4,00%
20/9/2005;3,75%
9/8/2005;3,50%
30/6/2005;3,25%
3/5/2005;3,00%
22/3/2005;2,75%
2/2/2005;2,50%
14/12/2004;2,25%
10/11/2004;2,00%
21/9/2004;1,75%
10/8/2004;1,50%
30/6/2004;1,25%
25/6/2003;1,00%
6/11/2002;1,25%
11/12/2001;1,75%
6/11/2001;2,00%
2/10/2001;2,50%
17/9/2001;3,00%
21/8/2001;3,50%
27/6/2001;3,75%
15/5/2001;4,00%
18/4/2001;4,50%
20/3/2001;5,00%
31/1/2001;5,50%
3/1/2001;6,00%
16/5/2000;6,50%
21/3/2000;6,00%
2/2/2000;5,75%
16/11/1999;5,50%
24/8/1999;5,25%
30/6/1999;5,00%
17/11/1998;4,75%
15/10/1998;5,00%
29/9/1998;5,25%
25/3/1997;5,50%
31/1/1996;5,25%
19/12/1995;5,50%
6/7/1995;5,75%
1/2/1995;6,00%
15/11/1994;5,50%
16/8/1994;4,75%
17/5/1994;4,25%
18/4/1994;3,75%
22/3/1994;3,50%
4/2/1994;3,25%
4/9/1992;3,00%
2/7/1992;3,25%
9/4/1992;3,75%
20/12/1991;4,00%
6/12/1991;4,50%
6/11/1991;4,75%
31/10/1991;5,00%
13/9/1991;5,25%
6/8/1991;5,50%
30/4/1991;5,75%
8/3/1991;6,00%
1/2/1991;6,25%
9/1/1991;6,75%
18/12/1990;7,00%
7/12/1990;7,25%
13/11/1990;7,50%
29/10/1990;7,75%
13/7/1990;8,00%
